,sentence
661,농협금융은 이번 회의에서 올해 글로벌사업 주요 성과와 연도말 사업 마무리 계획을 진단하는 한편 저성장·고금리·강달러 추세하의 글로벌 경영환경을 점검하고 이에 따른 내년 사업 추진방향과 중점과제 등에 대해 논의했다.
662,또 디지털 기반의 차별화된 글로벌 사업전략의 일환으로 싱가포르 현지에 농협금융 동남아 핀테크기업 투자펀드를 론칭했으며 앞으로 펀드 투자를 활용해 현지의 유망한 핀테크 플랫폼사를 발굴하고 협업 기회를 찾는다.
663,이날 김 부사장은 내년은 농협금융의 글로벌 중장기 경영목표 달성을 위한 주춧돌을 놓는 중요한 해라며 내실 있는 성장기반을 다지고 조밀한 내부통제 체계를 구축해 대내외 불안정성 확대에 철저히 대비해야 할 것이라고 말했다.
664,(왼쪽부터) 권용천 한국환경공단 경영지원처장과 안병옥 이사장 한성희 포스코건설 사장 김대현 친환경해양사업실장이 ESG 경영실천 및 대·중·소기업 상생협력을 위한 동반성장 업무협약 체결 후 기념사진을 찍고 있다.
665,이번 업무협약은 친환경 경영의 선두기업인 포스코건설과 ESG (환경·사회·지배구조)경영을 선도하는 한국환경공단이 유기적 업무협력을 통해 국내 환경분야 중소기업의 성장과 ESG 경영 확산의 실질적인 지원체계를 구축하기 위해 마련됐다.
666,이번 협약을 통해 포스코건설은 한국환경공단이 선정하는 성과공유 우수중소기업과 국가물산업클러스터 입주 중소기업의 국내외 판로 개척을 지원 함으로써 대기업의 사회적 책임을 다하는데 앞장설 계획이다.
667,성민네트웍스 아우름플래닛 등은 최우수상 한국콜마한국콜마가 독서경영 우수직장 대상을 받는다.
668,독서 친화 경영을 실천하고 직장 내 책 읽는 문화를 장려한 기업·기관들이다.
669,성민네트웍스와 아우름플래닛 사회복지법인 월드비전 경남·울산 지역본부 제주국제자유도시개발센터 한국동서발전 등 다섯 곳은 최우수상을 받는다.
670,월드비전 경남·울산 지역본부는 사내 도서관을 개방해 지역 상생을 추구한다.
671,제주국제자유도시개발센터는 자체 독서교육 전용 누리집으로 독서 정보와 서평을 공유하고 한국동서발전은 언제 어디서나 책을 읽을 수 있는 환경을 조성했다.
672,한종희 삼성전자 부회장 전영묵 삼성생명 사장 고정석 삼성물산 사장 등 전·현직 사장단 부사장 등 경영진도 현장을 찾아 고인을 기린 것으로 전해졌다.
673,재계 인사 중에선 김승연 한화 회장 선영을 찾아 고인을 기린 것으로 전해졌다.
674,장남 김동관 한화솔루션 부회장 차남 김동원 한화생명 부사장 삼남 김동선 한화호텔앤드리조트 전무 등도 함께 참석했다.
675,삼성 측은 별도의 공식 추모 행사를 열지 않고 사내에 온라인 추모관을 개설해 임직원이 방명록에 댓글 형식으로 추모글을 남길 수 있도록 했다.
676,오늘 우리는 회장님을 다시 만납니다라는 제목의 온라인 추모관에는 당신이 그랬던 것처럼 우리도 새로운 내일을 향해 힘차게 앞으로 나아가겠다라는 내용이 담겼다.
677,영상은 ▲미래를 내다본 선구자적 혜안과 통찰 ▲변화와 혁신을 선도한 과감한 도전 ▲임직원을 중시한 인재제일 철학 ▲국가와 인류 사회 공헌 등 고인의 업적과 철학을 소개했다.
678,신경영 강연과 연설문 등 고인의 육성을 방영했으며 그를 회상하는 여러 원로 경영인과 외부 인사의 목소리도 전했다.
679,영상에서 피아니스트 백건우씨는 세계 문화 보존과 발전을 도와주신 게 알려진 것보다 훨씬 크다고 고 이어령 전 문화부 장관은 아무도 모르는 사이에 좋은 일을 했다고 각각 고인을 회고했다.
680,고인의 유산 대부분을 이 부회장 등 유족 일가가 사회에 돌려주는 부분도 재계의 귀감이 된다는 평이다.
681,백정완 대우건설 사장이 위원장을 맡아 위원회 소집 및 운영관리 전반을 맡는다.
682,대우건설은 이번 위원회 출범을 계기로 조직별 ESG 활동 현황·실적 관리 관련 절차 및 체계를 구축해 ESG 경영을 강화해 나간다는 계획이다.
683,이어 대우건설은 앞서 공표한 온실가스 감축 목표 아래 풍력 태양광 수소 탄소 포집·활용·저장 기술(CCUS) 등 관련 신재생에너지 사업 및 여러 안건에 대해 앞으로도 관심과 지원을 아끼지 않겠다고 강조했다.
684,GC셀 박대우 대표는 “최근 급변하는 경제 환경 속에서도 회사의 기업 가치를 제고하는 사회적 가치 창출이 기업의 생존과 성장을 위한 필수조건이 됐다며 “앞으로 GC셀은 ‘지속가능경영’ 관점에서 사회적 책임을 다할 것이라고 말했다.
685,올해 인증기업·기관 가운데 특히 문화체육관광부 장관상(대상)은 ▲한국콜마가 받았다.
686,한국콜마는 창업 초기부터 사내 독서캠페인을 운영해 왔으며 독서를 핵심 가치로 삼고 독서교육·모임 등 개인과 조직의 성장을 위한 다양한 독서 프로그램을 운영하고 있다.
687,자체 독서감상문 학점 이수 제도를 통해 독서역량을 개인의 성과 평가와 연계하고 직원들 역시 독서 활동에 적극적으로 참여해 사내 독서경영을 체계적으로 운영하고 있는 점이 높은 평가를 받았다.
688,또 자체 독서교육 전용 누리집인 ‘북토피아’를 통해 직원들에게 도서 정보와 서평을 공유하고 독서포인트를 제공하는 등 자율적 독서활동을 장려하고(제주국제자유도시개발센터) ‘어디서든’ ‘언제든’ ‘누구든’ 독서할 수 있는 환경 조성을 목표로 사내 독서 활동을 지원해 왔다(한국동서발전).
689,문체부는 인증기업·기관을 대상으로 맞춤 독서경영 상담과 독서문화 프로그램 등도 제공해 지속적인 독서 활동을 지원할 계획이다.
690,문체부 정책 담당자는 “올해는 새롭게 인증받은 일터가 많아 매우 고무적인 데 이는 직장 내 책 읽기가 직원들의 창의성 향상과 소통 증진에 기여한다는 점을 체감해 독서경영을 실천하는 기업과 기관이 늘어난 결과로 보인다고 전했다.
691,/김지호 기자										출퇴근은 물론 주말에도 자전거를 탈 만큼 자전거를 좋아한다.
692,이때의 아쉬움이 크게 남아 직접 자전거를 정비하는 방법을 익히기 시작했다.
693,관련 책과 유튜브를 섭렵했고 자전거 부품별 제조사의 매뉴얼도 하나하나 읽었다.
694,자전거 정비를 배우고 나니 자전거 타기는 단순한 운동을 넘어 지속적으로 상황을 체크하고 조정하며 이를 통해 생기는 변화를 확인하는 과정 전부를 뜻하게 됐다.
695,간혹 자전거를 타다 보면 바퀴가 살짝 뒤틀려 미세하게 옆으로 가기도 하는데 핸들을 움직여가며 계속 주행할 수 있어 무시하고 그대로 타는 경우가 종종 있다.
696,이 같은 바퀴의 뒤틀림은 보통 바큇살 한두 개의 장력에 문제가 생기며 발생한다.
697,즉 문제가 있는 한두 바큇살이 아닌 바퀴에 있는 모든 살의 장력을 골고루 맞춰줘야 똑바로 굴러가는 것이다.
698,조직 문화의 균형을 맞추겠다고 어느 한쪽만을 건드리면 전체 조직에 영향을 끼쳐 의도하지 않은 결과가 나올 수 있으니 늘 균형감 있게 신경 써야 한다.
699,국내 최초 비대면 투자 일임 서비스를 운영하며 조직 문화에 창의성과 엄격함을 공존시키려 신경 쓰는 이유다.
700,일하는 방식이 창의성을 강조하는 쪽에 치우치면 고객에게 금융사로서의 신뢰를 주기 어려울 것이고 반대로 너무 엄격함을 강조하면 고객에게 참신함이 전달되지 않을 것이기 때문이다.
701,하지만 그것에 만족해 미묘하게 밸런스가 달라지는 것을 놓쳤다가는 큰일을 당할 수 있다.
702,브레이크 패드가 닳아 감도가 둔해지거나 케이블 장력이 달라져있을 때 변속에 약간이라도 더 많은 힘이 들어가면 순간적인 위험 상황에 제대로 대응하기 힘들다.
703,작은 소리가 나거나 사소한 변형이 왔을 때 신속하게 대응할 수 있게 된다.
704,중요한 것은 ‘어떻게 하면 빠르게 문제를 파악하고 조율해 최적의 균형 상태를 유지하는가’에 있다.
705,그가 삼성그룹의 총수로 책임경영에 나서기 위해서는 회장으로 승진해야한다는 목소리가 강하게 제기된 영향이다.
706,아울러 그룹 지배구조와 컨트롤타워 부활 등도 어떻게 해결해 나갈지 주목된다.
707,이후 구속 수감 등으로 경영에서 물러나는 초유의 사태가 벌어지면서 삼성의 계획이 순연된 것이다.
708,그가 사실상 그룹의 총수역할을 하고 있지만 대내외적으로도 회장 직함이 필요한데 이어 수십계의 계열사를 총괄할 컨트롤타워가 필요하다는 목소리도 끊임없이 제기된 영향이다.
709,그가 회장이라는 직함과 함께 그룹 전반의 수장으로 올라서는 것이 ‘책임경영’이라는데 한 목소리가 나오는 이유다.
710,재계 관계자는 “이 회장이 직함보다는 회사 경영에 집중하며 승진을 계속 고사한 것으로 전해졌으나 그룹 전면에 나서기 위해서는 승진이 필요하다고 대내외적으로 강하게 의견이 나오자 결국 이를 단행하는 모습이라고 밝혔다.
711,삼성의 지배구조는 이 회장 등 ‘오너일가→삼성물산→삼성생명→삼성전자’로 이어진다.
712,여기에 야당이 추진 중인 보험업법 개정안이 삼성 소유구조의 변수로 꼽힌다.
713,이럴 경우 삼성물산과 삼성생명을 고리로 한 지배구조가 취약해져 이 회장의 그룹 지배력도 영향을 받을 수밖에 없다.
714,하지만 그룹 차원의 일사불란한 전략 마련을 위해서는 그룹의 미래 비전을 제시할 수 있는 조직이 구성돼야 한다는 목소리가 높다.
715,(왼쪽부터) 권용천 한국환경공단 경영지원처장 안병옥 이사장 한성희 포스코건설 사장 김대현 친환경해양사업실장이 업무협약을 맺고 기념촬영을 하고 있다.
716,/사진포스코건설포스코건설이 한국환경공단과 ESG(환경·사회·지배구조) 경영실천과 대·중·소기업 상생협력을 위한 동반성장 업무협약을 맺었다.
717,업무협약은 양사가 국내 환경분야 중소기업의 성장과 ESG 경영 확산을 위한 실질적인 지원체계를 구축하기 위해 이뤄졌다.
718,포스코건설은 한국환경공간이 선정하는 성과공유 우수중소기업 국가물산업클러스터 입주 중소기업에 대해 국내외 판로 개척을 지원할 계획이다.
719,포스코건설은 같이 짓는 가치라는 슬로건을 제정하고 ESG 전담부서를 운영하고 있다.
720,특히 협력사 ESG 평가도입과 성과공유제 운영 등 중소협력사와의 상생을 위한 다양한 동반성장 프로그램을 운영 지난달 공정거래협약 이행평가와 동반성장지수에서 최우수 등급을 받았다.
721,대한상의는 이날 강석구 조사본부장 명의의 논평에서 “그동안 삼성그룹의 최고경영자로서 실질적인 역할을 수행해온 만큼 이 부회장의 회장 승진은 경영 안전성을 높이는 결정이라며 “회장 승진을 축하한다고 했다.
722,이어 “대외 경영여건이 악화하는 상황에서 위기 대응을 위한 책임경영을 강화하고 한국경제의 리딩 컴퍼니로서 미래전략을 수립하는데 과감한 의사결정과 시너지 효과를 기대한다고 했다.
723,유환익 전국경제인연합회 산업본부장도 “최근 미·중 간 반도체 패권 경쟁 심화 보호무역주의 확산에 따른 수출환경 악화 등으로 한국경제가 위기에 직면해 있다며 “삼성전자 역시 TSMC 인텔 등 글로벌 반도체 기업들과 무한 경쟁 중인 만큼 이 회장의 취임을 계기로 삼성전자가 신기술에 대한 과감한 투자 등을 바탕으로 글로벌 시장에서의 경쟁력을 유지하고 우리 앞에 놓인 위기를 새로운 기회로 바꿀 수 있기를 기대한다고 했다.
724,/사진롯데케미칼 제공 롯데케미칼 주요 경영진들이 회사 주식 취득에 나섰다.
725,이번엔 경영진들도 회사 주식을 매입해 책임경영 강화 및 주주가치 향상을 추진한다는 게 롯데케미칼 관계자 설명이다.
726,김 부회장은 원가 부담과 석유화학 제품 수요 둔화 등으로 불확실성이 커지고 있지만 배터리 소재 사업에 역량을 집중하고 수소 시장을 선점해 미래 성장 기반을 구축하겠다고 밝혔다.
727,그러면서 주주와 이해관계자에게 굳건한 신뢰를 받을 수 있도록 기업 가치 향상에 힘쓰겠다고 덧붙였다.
728,재계에 따르면 이날 추모식에는 이재용 삼성전자 회장과 홍라희 전 삼성미술관 리움 관장 이부진 호텔신라 사장 이서현 삼성 복지재단 이사장 겸 삼성글로벌리서치 고문 김재열 국제빙상경기연맹 회장 등이 참석했다.
729,승진을 앞두고 이 회장이 이날 부친의 유지를 이어 받아 ‘뉴삼성’에 대한 메시지를 내놓을 것이라는 관측이 나왔지만 특별한 메시지는 없었다.
730,한종희 삼성전자 부회장 전영묵 삼성생명 사장 고정석 삼성물산 사장 등도 순차적으로 선영을 찾아 고인을 기렸다.
731,이날 추모식에는 김승연 한화그룹 회장이 세 아들과 함께 참석해 눈길을 끌었다.
732,김 회장은 장남 김동관 한화솔루션 부회장 차남 김동원 한화생명 부사장 삼남 김동선 한화호텔앤드리조트 전무와 함께 이 회장을 추모했다.
733,대한상의는 강석구 조사본부장 명의의 논평에서 “회장 승진을 축하한다며 “그동안 삼성그룹의 최고경영자로서 실질적인 역할을 수행해온 만큼 이 부회장의 회장 승진은 경영 안전성을 높이는 결정이라고 평가했습니다.
734,이어 “대외 경영여건이 악화하는 상황에서 위기 대응을 위한 책임경영을 강화하고 한국경제의 리딩 컴퍼니로서 미래전략을 수립하는데 과감한 의사결정과 시너지 효과를 기대한다고 덧붙였습니다.
735,이날 오전 열린 추모식에는 홍라희 전 삼성미술관 리움 관장 이재용 삼성전자 부회장 이부진 호텔신라 사장 이서현 삼성복지재단 이사장 겸 삼성글로벌리서치 고문 김재열 국제빙상경기연맹 회장 등 유족이 참석했습니다.
736,한종희 삼성전자 부회장과 전영묵 삼성생명 사장 고정석 삼성물산 사장 등 전·현직 사장단과 부사장 등 경영진도 순차적으로 선영을 찾아 고인을 기렸습니다.
737,삼성 측은 별도의 공식 추모 행사를 열지 않고 사내에 온라인 추모관을 개설해 임직원이 방명록에 댓글 형식으로 추모글을 남길 수 있도록 했습니다.
738,김 회장은 김동관 한화솔루션 부회장 김동원 한화생명 부사장 김동선 한화호텔앤드리조트 전무와 동행했습니다.
739,ESG 컨설팅·인력 확보 등 성장 필수 인프라 교육계열사별 아카데미 운영·오픈 이노베이션 등 적극롯데가 중소 파트너사들의 경영 역량 강화에 힘을 쏟으며 상생 가치 실현에 적극 나서고 있다.
740,중소 파트너사들을 롯데의 지속가능한 성장 동반자로 보고 ESG 경영 컨설팅 기술 개발 교육 인력 확보 지원 관련 법규 교육 등 성장에 필수적인 인프라 교육에 힘쓰고 있다.
741,ESG 경영이 기업에게 필수이자 기본으로 자리잡으면서 중소 파트너사들도 이에 대한 관심은 있지만 경영에 실질적으로 적용함에 있어서 애로사항이 많았다.
742,롯데는 이러한 ESG경영 실천 노하우를 중소 파트너사에도 공유하며 다양한 활동을 펼치고 있다.
743,롯데는 그룹차원에서 동반 성장 아카데미를 운영하며 롯데 임직원 교육 과정에 준하는 교육프로그램을 지원해 파트너사 직원 역량 강화에 도움을 주고 있다.
744,전문 인력 부재 비용 등 문제로 화관법(화학물질관리법) 화평법(화학물질의 등록 및 평가 등에 관한 법률) 및 개별 환경법 등 정보 습득 및 교육 등에 어려움을 겪고 있는 업체들을 위해 마련된 행사다.
745,중소기업에 맞는 ESG 가이드 라인 교육을 통해 ESG 경영 전략 및 지표 수립 등을 돕고 있다.
746,컨설팅이 종료되면 동반성장위원회의 ESG 우수기업 인증이 부여되고 롯데백화점에서 운영하는 동반성장 펀드 지원 연장 및 기금 우대 혜택 등이 주어진다.
747,동반성장위원회는 중소기업 ESG 표준 가이드라인에 따라 ESG 교육 등을 종합적으로 지원할 예정이다.
748,파트너사는 맞춤형 지표 개발 ESG 전문 교육 ESG 역량 진단 현장실사 등의 사업을 지원받고 ESG 평가지표 준수율이 우수한 협력사에게는 동반위 명의의 ESG 우수 중소기업 확인서가 발급된다.
749,본 협약을 통해 참여기관들은 △ESG 오픈 이노베이션 사업 추진 △환경분야 우수 중소기업 기술성장 지원 △지역 중소기업 대상 ESG경영 확산 △대·중소기업 동반성장 추진을 위해 힘쓴다.
750,ESG 오픈 이노베이션은 공공기관과 대기업의 네트워크를 기반으로 하는 동반성장 협업사업으로 제안 내용은 인천항과 롯데정밀화학 사업장에서 적용 가능한 환경분야다.
751,파트너사의 중대재해처벌법에 대한 이해를 돕고 안전보건관리체계 구축과 이행을 위해 필요한 조치 방안에 대한 내용으로 구성됐다.
752,PP는 케이블TV나 위성방송에 고유 채널을 가지고 TV 프로그램을 제작 및 편성해 종합유선방송 사업자(SO)나 위성방송 사업자에게 제공하는 사업자를 말한다.
753,앞으로도 경쟁력 있는 중소·개별PP 콘텐츠를 육성하고 방송산업 생태계 선순환에 기여하는 다양한 상생 프로그램을 지원해 나갈 계획이다.
754,SK이노베이션은 매년 협력사를 대상으로 ‘ESG 리스크 평가’를 시행하고 있다.
755,협력사의 ESG 취약분야를 파악하는 데 그치지 않고 업체별 취약점의 원인을 발굴 개선하는 과정으로 구성했으며 모든 비용을 SK이노베이션이 부담해 협력사의 자발적인 ESG 역량 향상을 촉진하고 있다.
756,컨설팅 전에는 온실가스 배출량 수준을 측정할 역량이 부족했지만 컨설팅 후 온실가스 배출량 파악은 물론 자체적으로 온실가스양을 산정하고 관리할 수 있는 체계까지 갖췄다.
757,김양섭 SK이노베이션 재무부문장은 “SK이노베이션의 ESG 경영 실천 의지에 협력사들의 적극적인 관심과 협력이 필요하다며 “협력사를 포함한 SK이노베이션의 이해 관계자들에게 책임 있는 기업의 모습을 보여 주고 지속 가능한 공급망 생태계를 추구해 나갈 것이라고 말했다.
758,유한양행은 이번 UNGC 가입을 계기로 앞으로도 사회·환경·지배구조 전 영역에서 유한양행만의 정체성을 반영한 ESG경영을 실천해 나가겠다는 계획이다.
759,유한양행은 글로벌 혁신 신약을 개발해 환자들의 삶을 개선하는데 역량을 집중하고 있다.
760,거창군 에콜리안 경영방식 개선 운영비 절감 위한 협의 지도에 협약 당사자의지위로 적극 나설 것에콜리안 제천과 영광 격주에 하루씩 지역민만 예약 가능한 날 정해 우선 예약 혜택 부여 거창군의회 표주숙 총무위원장 수익률 제고와 군민 우선예약제 실시 등 획기적인 골프장 운영방식에 거창군이 적극 관여해야 한다고 주장.
761,거창군의회 제공경남 거창군의회 표주숙 총무위원장이 ‘에콜리안 거창(이하 에콜리안)’골프장에 대해 운영 개선과 경영방식 개선을 촉구해 귀추가 주목되고 있다.
762,특히 경영방식 개선과 운영비 절감을 통한 당기 순이익 제고를 위한 협의와 지도에 협약 당사자의 지위로서 거창군이 적극적으로 나설 것도 강조했다.
763,표 위원장은 “매년초 공단 측이 제출하는 전년도 운영현황 자료를 통보만 받는데 그칠 것이 아니라 일반관리비와 코스 관리비 등 각종 세부 항목별로 지출의 타당성에 대해 전문성을 확보해 다시 한번 꼼꼼히 따져 보아야 할 것이라고 주문했다.
764,또한 운영방식에도 공단이 운영하는 다른 지역보다 거창군민 이용에 있어 우선권이 없다는 점도 지적하고 개선책 마련에 거창군이 적극 나설 것을 요청했다.
765,표 위원장은 “에콜리안 제천과 영광에서는 격주에 하루씩 지역민만 예약 가능한 날을 정해 우선 예약 혜택을 부여하고 있다며 “거창은 이러한 우선권이 전혀 부여되지 않아 거창군민이 이용하기 어려운 상황이다라고 주장했다.
766,김교현 부회장은 “원가 부담과 석유화학 제품 수요 둔화 등으로 불확실성이 증대되고 있지만 배터리 소재 사업 역량 집중 및 수소 시장 선점을 통해 주주 및 이해관계자에게 신뢰 회복과 기업 가치를 향상시켜 나가겠다고 말했다.
767,또 소상공인의 자생력 강화를 위해 체감할 수 있는 정책을 추진하겠다고 했다.
768,박 이사장은 “정책 집행기관이지만 현장에 답이 있다는 생각으로 현장에서 정책 개선 사항을 찾으려 노력하고 있다며 “맞춤형 지원과 공단 혁신을 통해 소상공인과 전통시장이 체감할 수 있는 정책을 추진해 나가겠다고 다짐했다.
769,이를 위해 디지털을 활용한 혁신 소상공인 육성을 위해 스마트상점·공방을 지원하고 소상공인의 자생력 강화를 위해 온누리상품권 결제 수단 등을 확대하겠다고 했다.
770,박 이사장은 대전 중구 본사를 유성구로 이전하는 안에 대해선 “직원들 여건을 보면 필요하지만 상황이 복잡해 똑떨어지게 말할 상황이 아니다며 “지혜를 모아 궁리해 보겠다고 말했다.
771,(사진새마을금고 제공) *재판매 및 DB 금지서울뉴시스이주혜 기자 새마을금고가 글로벌 ESG 경영 모델로 주목받으며 개발도상국 빈곤 극복의 플랫폼으로 자리매김하고 있다.
772,이번 방문은 미얀마 우간다 라오스 등에서 성공적으로 자리매김한 새마을금고 모델을 피지에 도입하기 위한 준비 과정이다.
773,국제개발협력사업은 글로벌MG의 대표 사업으로 새마을금고 플랫폼을 개발도상국에 전파해 빈곤 극복과 금융사각지대 해소를 목표로 한다.
774,특히 저축장려운동과 금융교육 등으로 지역사회 기초자본 형성을 이끌고 있으며 각종 교육과 빈곤구제활동으로 전파 대상국의 삶의 질 향상에 기여하고 있다.
775,성공적인 경험을 바탕으로 피지와 캄보디아로 국제협력 대상국을 확대 추진하고 있다.
776,박차훈 새마을금고중앙회장은 국제개발협력사업은 새마을금고 ESG 경영의 핵심 사회공헌 사업이라며 새마을금고가 개발도상국에서 성공적인 금융포용 플랫폼으로 자리잡을 수 있도록 하겠다고 말했다.
777,사진 제공 SK 최태원 SK그룹 회장이 러시아·우크라이나 전쟁 글로벌 수요 급감 등으로 경영 환경이 악화된 상황과 관련해 앞으로 지정학적 긴장 등을 포함해 거시 환경 위기 요인이 추가적으로 늘어날 가능성을 염두에 둬야 한다며 각 사별로 연말까지 다양한 (위기) 시나리오에 대비한 전략을 수립하라고 주문했다.
778,SK그룹 CEO 세미나는 매년 전 계열사 최고경영진이 모여 올해 경영 상황 전반을 점검하고 다음해 경영 전략을 논의하는 자리다.
779,최 회장은 이 자리에서 위기 극복을 위해 이우위직(以迂爲直) 이환위리(以患爲利)의 자세를 주문했다.
780,이는 손자병법에 나오는 경구로 다른 길을 찾음으로써 유리한 위치를 선점하고 고난을 극복해 오히려 기회로 삼는다는 의미다.
781,최 회장은 경영 환경이 어렵지만 비즈니스 전환을 통해 새로운 해법을 찾으면서 위기 이후 맞게 될 더 큰 도약의 시간을 준비하자고 말했다.
782,최 회장은 불확실성이 커진 상황에서 데이터에 기반한 전략 수립의 중요성을 강조하기도 했다.
783,그는 경영 환경에 대한 불확실성이 커질수록 데이터 기반의 경영 전략 실행이 중요해질 것이라며 각 계열사 최고재무책임자(CFO)들의 역할이 중요하다고 강조했다.
784,앵커 이재용 삼성전자 부회장이 오늘 이사회 의결을 통해 회장직에 올랐습니다.
785,리포트 삼성전자는 이사회를 열고 이재용 부회장의 회장 승진을 의결했습니다.
786,대외 여건이 악화된 가운데 책임경영 강화와 신속한 의사 결정이 필요하다는 게 이유였습니다.
787,이 회장은 복권 이후 사내 행사나 계열사 방문 등을 통해 보폭을 넓혀왔습니다.
788,com세종뉴시스 고은결 기자 경제협력개발기구(OECD) 한국연락사무소(NCP)가 삼성중공업에 대한 시민단체의 OECD 지침 위반 이의신청 사건이 최종 합의에 이르지 못했다며 종결을 결정했다.
789,OECD 다국적기업 가이드라인은 다국적기업의 경영 활동이 노사·인권·환경 등 분야에 대한 기업의 책임경영을 권장하기 위해 만들어졌다.
790,가이드라인 위반의 피해자 또는 이해관계자는 국가별 NCP에 이의신청을 제기하고 NCP는 양측의 자발적 참여를 통한 조정을 토대로 사건을 처리한다.
791,이에 위원회 차원에서 기업 책임경영 등을 권고하는 내용을 포함한 최종 성명서를 채택하고 사건을 종결했다고 밝혔다.
792,한국NCP 위원장인 정종영 산업부 투자정책관은 양측이 한국NCP를 통해 성실하게 조정 절차에 참여했다며 조정 절차 참여를 통해 이의신청인 피신청인 이해관계자 등이 기업 책임 경영의 중요성을 인식하는 계기가 됐을 것이라고 평가했다.
793,또한 최종 합의에 도달하지는 못했지만 피신청인인 삼성중공업 측이 한국NCP의 권고사항을 충실히 이행해 달라고 당부했다.
794,지난해와 달리 전·현직 사장단이 대거 참석했는데 이재용 부회장의 회장 승진이 임박했다는 관측이 나왔습니다.
795,홍라희 전 리움 관장과 이재용 부회장 이부진 호텔신라 사장 이서현 삼성 복지재단 이사장 등 유족들이 경기도 수원의 가족 선영을 찾았습니다.
796,김 회장은 경영상 중요한 결정 사항이 있으면 고 이 회장을 찾아 조언을 구했다고 합니다.
797,이재용 부회장의 회장 승진 얘기가 나오는 시점에서 삼성 사장단이 추모식에 대거 참석했다는 점이 눈길을 끌었죠?
798,과거 가족 위주의 추모식과 달리 올해는 원로 경영진을 포함해 전 현직 사장단이 대거 참석했습니다.
799,최근 이 부회장이 주요 계열사의 국내외 사업장을 잇달아 방문하는 등 경영 전면에 나서면서 회장 승진 가능성이 제기됐는데 경영진 다수의 추모식 참석 역시 이런 관측에 힘을 실었습니다.
800,김양팽 / 산업연구원 연구위원 : 고환율 물가 러시아 사태 이런 부분들이 어떻게 전개될지 예측하기가 어려워서 단기적으로 언제 (실적이) 반등할지 말하기가 어려운 상황이에요.
801,실적 부진과 아직 진행 중인 재판 등은 이재용 부회장에게 부담으로 작용할 것으로 보입니다.
802,김주남 국가브랜드진흥원 이사장은 “독서는 타인의 지혜를 간접 경험해 국가 경쟁력을 높일 수 있는 수단이지만 국민 전체의 독서율을 끌어올리기는 쉽지 않다며 “한국 경제의 급성장을 이끈 기업들의 역할이 중요한 이유 중 하나라고 말했다.
803,기업이 직장인들에게 책을 읽도록 권장하면 독서 문화가 자연스레 가정으로 전파될 수 있다는 것이다.
804,‘독서경영 우수직장 인증제’는 독서 친화적 기업과 기관의 우수 사례를 발굴해 문화체육관광부 인증을 부여해 직장 내 책 읽는 문화를 확산시키는 사업이다.
805,문체부와 한국출판문화산업진흥원가 공동 주최하고 서울경제신문과 국가브랜드진흥원이 공동 주관한다.
806,인증 기업 수 증가와 더불어 관련 예산과 인프라를 갖춘 공공기관과 대기업이 주로 신청했던 몇년 전과 달리 중소기업들의 참여가 늘고 있는 게 고무적인 현상이다.
807,특히 과거에는 업무 관련 책이 대다수였다면 요즘은 인문학·여행·육아 등으로 독서경영 관련 도서가 다양화하는 추세다.
808,독서를 활용해 경영 성과를 창출하는 데서 한발 더 나아가 직원들의 성장과 상호 소통 가정의 행복을 돕기 위해서다.
809,윤동한 한국콜마 창업자는 자신의 저서 ‘인문학이 경영 안으로 들어왔다’에서 “실무자로 남아 있을 때는 혁신적인 아이디어를 내고 기술을 개발해내는 중요하나 중간 관리자로 올라서면 부하를 관리하고 협업 환경을 만들어내는 능력이 중요해진다며 “이건 인문이나 독서 경험적 지식이 아니고서는 갖출 수 없는 역량이라고 설명했다.
810,이 회사는 창업 초기부터 독서를 핵심 가치로 삼아 개인과 조직의 성장을 위한 독서 프로그램을 운영 중이다.
811,문체부 담당자는 “올해 신규 인증이 많아졌다는 것은 독서경영의 중요성을 인식하고 실천하는 기업이 많아졌다는 뜻이라며 “’독서경영 우수 직장 인증제’를 통해 해당 인증 기업과 기관의 이미지가 높아지고 직장을 중심으로 책 읽는 문화가 확산하기를 바란다고 말했다.
812,이번 교육에서는 부분환매제도 수시납부 방법 및 농가 경영 컨설팅을 통한 농업소득 증대 등 다양한 교육이 이뤄졌다.
813,신홍섭 본부장은 경영회생 사업에 참여한 농가가 반드시 환매할 수 있도록 제도를 안내하고 환매활성화 방안을 모색하여 제도개선에 노력 하겠다고 밝혔다.
814,박대우 GC셀 대표는 사회적 가치 창출이 기업의 생존과 성장을 위한 필수조건이 됐다.
815,BPA는 지금까지 사내 북카페 운영 e-book 서비스 도입으로 책 읽을 수 있는 환경을 조성하고 책으로 소통하고 성장하는 조직문화를 만들기 위해 노력했다.
816,강준석 BPA 사장은 앞으로도 독서경영 조직역량 축적을 위해 노력하겠다고 밝혔다.
817,유 행장은 이날 토론에서 ESG(환경·사회적 책무·기업지배구조 개선) 중심의 사회로 나아가는 변화의 흐름에서 여성의 경영 참여 확대와 우수한 여성 인재 양성을 위해서는 지속적이고 변함없는 경영진의 의지와 노력 그리고 이를 통한 전사적인 문화의 정착이 중요하다고 말했다.
818,그러면서 유 행장은 한국씨티은행이 오랜 기간 양성평등기업의 모범 사례가 되고 있다고 소개했다.
